,location,total_sqft,bath,price,bhk
0,1st Block Jayanagar,2850.0,4.0,428.0,4
1,1st Block Jayanagar,1630.0,3.0,194.0,3
2,1st Block Jayanagar,1200.0,6.0,125.0,6
3,1st Block Jayanagar,1875.0,2.0,235.0,3
4,1st Block Jayanagar,930.0,4.0,85.0,7
5,1st Block Jayanagar,700.0,4.0,104.0,8
6,1st Block Jayanagar,1200.0,2.0,130.0,3
7,1st Block Jayanagar,1235.0,2.0,148.0,2
8,1st Block Jayanagar,2750.0,4.0,413.0,4
9,1st Block Jayanagar,2450.0,4.0,368.0,4
11,1st Phase JP Nagar,1875.0,3.0,167.0,3
12,1st Phase JP Nagar,1500.0,5.0,85.0,5
13,1st Phase JP Nagar,2065.0,4.0,210.0,3
15,1st Phase JP Nagar,2059.0,3.0,225.0,3
16,1st Phase JP Nagar,1394.0,2.0,100.0,2
17,1st Phase JP Nagar,1077.0,2.0,93.0,2
18,1st Phase JP Nagar,1566.0,2.0,180.0,2
19,1st Phase JP Nagar,840.0,2.0,50.0,1
20,1st Phase JP Nagar,1590.0,3.0,131.0,3
21,1st Phase JP Nagar,2180.0,3.0,210.0,3
22,1st Phase JP Nagar,1180.0,2.0,88.5,2
23,1st Phase JP Nagar,1200.0,2.0,86.0,2
24,1st Phase JP Nagar,1394.0,2.0,85.0,2
25,1st Phase JP Nagar,2077.0,3.0,175.0,3
27,1st Phase JP Nagar,1205.0,2.0,85.0,2
29,1st Phase JP Nagar,900.0,2.0,75.0,2
30,2nd Phase Judicial Layout,1450.0,2.0,50.75,3
31,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
32,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
33,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
34,2nd Phase Judicial Layout,900.0,2.0,41.0,2
35,2nd Phase Judicial Layout,1681.0,3.0,69.0,3
36,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
37,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
38,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
41,2nd Stage Nagarbhavi,1200.0,4.0,245.0,4
42,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
43,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
44,2nd Stage Nagarbhavi,600.0,3.0,95.0,4
45,2nd Stage Nagarbhavi,600.0,4.0,100.0,3
46,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
47,2nd Stage Nagarbhavi,600.0,4.0,125.0,4
48,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
49,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
50,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
51,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
52,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
53,2nd Stage Nagarbhavi,600.0,3.0,84.0,4
54,2nd Stage Nagarbhavi,600.0,3.0,82.0,4
56,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
57,5th Block Hbr Layout,1206.0,2.0,56.0,2
58,5th Block Hbr Layout,1270.0,2.0,70.0,3
59,5th Block Hbr Layout,1200.0,6.0,220.0,5
60,5th Block Hbr Layout,1200.0,4.0,205.0,4
61,5th Block Hbr Layout,1312.0,2.0,69.0,2
62,5th Block Hbr Layout,1200.0,5.0,205.0,5
63,5th Block Hbr Layout,5100.0,5.0,300.0,6
64,5th Block Hbr Layout,1200.0,5.0,205.0,5
65,5th Phase JP Nagar,1075.0,2.0,60.0,2
66,5th Phase JP Nagar,1150.0,3.0,52.5,2
67,5th Phase JP Nagar,1070.0,2.0,39.0,2
68,5th Phase JP Nagar,1256.0,2.0,62.8,2
69,5th Phase JP Nagar,1207.0,2.0,63.0,2
70,5th Phase JP Nagar,1725.0,2.0,100.0,3
71,5th Phase JP Nagar,1440.0,2.0,60.0,2
72,5th Phase JP Nagar,1400.0,2.0,88.0,3
73,5th Phase JP Nagar,1450.0,2.0,58.0,2
74,5th Phase JP Nagar,1700.0,2.0,100.0,3
76,5th Phase JP Nagar,2500.0,5.0,110.0,5
